CD4Tconv	Fibroblasts	Malignant	DC
CENPU	0	0.29	0.29	0
KDELC2	0	0.3	0	0
SKA2	0	0.47	0.38	0
UBE2T	0	0.39	0.54	0
AXL	0	0.25	0	0
COLGALT1	0	0.38	0	0
CBX1	0	0.48	0.54	0
CDK1	0	0.45	0.36	0
RNASEH2A	0	0.37	0.57	0
ICMT	0	0.35	0	0
ALDH18A1	0	0.29	0	0
WDR34	0	0.32	0.33	0
TMCO3	0	0.27	0	0
NRM	0	0.26	0.3	0
COMMD4	0	0.41	0.25	0
CBX5	0	0.38	0.5	0
IFT22	0	0.26	0.59	0
PHF19	0	0.27	0	0
SRM	0	0.43	0.52	0
RPL39L	0	0.25	0.79	0
MLEC	0	0.38	0.72	0
UBE2Q2	0	0.3	0	0
LSM5	0	0.41	0.37	0
MAGOHB	0	0.28	0.33	0
SYNCRIP	0	0.39	0.38	0
TPGS2	0	0.32	0	0
GOLT1B	0	0.32	0.33	0
MRPL17	0	0.35	0.35	0
TLN1	0	0.39	-0.45	0
NCOR2	0	0.25	0	0
RCC1	0	0.39	0.28	0
PSMC3	0	0.38	0.31	0
HMG20B	0	0.35	0.35	0
UQCC2	0	0.33	0.31	0
ATL3	0	0.28	0	0
DCTN3	0	0.42	0	0
MZT2B	0	0.39	0.27	0
ACAA2	0	0.27	-0.31	0
TUBG1	0	0.26	0.5	0
LSM3	0	0.34	0.55	0
NDUFB6	0	0.37	0.34	0
SAE1	0	0.29	0.3	0
RBM3	0	0.39	-0.48	0
RHOA	0	0.35	-0.56	0
YIF1B	0	0.29	0	0
CKAP2	0	0.31	0	0
HNRNPH3	0	0.39	0	0
RHEB	0	0.42	0.41	0
MZT1	0	0.28	0.35	0
CHID1	0	0.28	0.35	0
PSMA4	0	0.34	0.42	0
HDGF	0	0.31	0.32	0
USO1	0	0.25	0	0
GNB1	0	0.27	0	0
PRELID1	0	0.35	0.26	0
RUVBL2	0	0.28	0.43	0
UBC	0	-0.64	-0.46	0
DCTD	0	0.26	0	0
DPM2	0	0.28	0.28	0
FIBP	0	0.29	0	0
SEPT2	0	0.33	0	0
HNRNPAB	0	0.34	0.26	0
TOMM5	0	0.31	0.47	-0.31
ENY2	0	0.33	0.29	0
UBE2V2	0	0.25	0.25	0
PSMA2	0	0.26	0.4	0
ACTR1A	0	0.26	0	0
COPB2	0	0.3	0.5	0
TFG	0	0.28	0.37	0
HDAC2	0	0.26	0.53	0
NAP1L1	0	0.31	-0.42	0.29
NACA	0	-0.34	0.28	0
GTF2A2	0	0.3	0.28	-0.3
HNRNPR	0	0.3	0.51	0
C14orf166	0	0.3	0.31	0
TXNDC12	0	0.25	0	0
NEDD8	0	0.3	-0.35	0
MESDC2	0	0.25	0	0
MRPL41	0	0.29	-0.3	0
NDUFS5	0	0.29	0.51	-0.42
HP1BP3	0	0.35	0.3	0
GDI2	0	0.29	0	0.54
PSMD2	0	0.26	0.29	0
ILF2	0	0.29	0.57	0
UBE2S	0	0.32	0.55	0
AURKAIP1	0	0.27	0.52	0
RPL12	0	-0.32	-0.28	0
TRAPPC6A	0	-0.26	0	0
ARRDC1	0	-0.27	0.45	0
EIF3H	0	-0.28	0.25	0
PSME1	0	-0.29	-0.35	0
NUDT14	0	-0.25	0.36	0
ZFAND5	0	-0.42	-0.36	0.39
WBP2	0	-0.31	0	0
EIF3E	0	-0.29	0.47	0
APRT	0	-0.27	0.28	0
PCGF5	0	-0.25	0	0
DPP7	0	-0.25	-0.33	0
LMBRD1	0	-0.25	-0.3	0
PSMB10	0	-0.31	-0.55	0
NR1H2	0	-0.28	0	0
NBEAL1	0	-0.26	0	0
GABARAPL1	0	-0.34	-0.3	0
PCOLCE2	0	2.51	0	0
MT1M	0	1.89	-0.31	0
F10	0	1.3	0	0
GALNT15	0	0.98	0	0
ZBTB16	0	0.82	0	0
FIGF	0	0.8	0	0
FABP3	0	0.78	0	0
MT1A	0	0.78	0	0
PPL	0	0.75	0.64	0
CYP4B1	0	0.73	0	0
ADAMTSL4	0	0.66	0	0
AOX1	0	0.64	0	0
IGSF10	0	0.63	0	0
LINC01133	0	0.62	0.45	0
IL18	0	0.59	0	0.43
SESTD1	0	0.59	0	0
XPNPEP2	0	0.56	0	0
ADAMTS5	0	0.55	0	0
NTN4	0	0.52	0	0
CAB39L	0	0.51	0	0
NPR1	0	0.51	0	0
BDKRB2	0	0.51	0	0
HSD3B7	0	0.5	0	0
RTN3	0	0.48	0	0
PCDHGC3	0	0.48	0	0
ADAM9	0	0.48	0.29	0
ITGB1BP1	0	0.47	0	0
ARL4D	0	0.47	0.43	0
WNT2B	0	0.47	0	0
AHNAK2	0	0.47	0.4	0
HEXA	0	0.46	0.41	0
BST1	0	0.45	0	0
GRK5	0	0.45	0	0
SNX21	0	0.45	0	0
CHPT1	0	0.44	0.29	0
CALHM2	0	0.44	0.53	0
CNTN4	0	0.43	0	0
ABHD5	0	0.42	0	0
ANG	0	0.42	0	0
FILIP1	0	0.41	0	0
PDZRN4	0	0.41	0	0
CRYL1	0	0.41	0	0
NAV1	0	0.4	0	0
C17orf58	0	0.4	0	0
PGRMC2	0	0.4	0	0
TCEA3	0	0.39	0.28	0
MIR22HG	0	0.39	0	0
PXDC1	0	0.39	0	0
ORAI3	0	0.39	0	0
SLC37A3	0	0.39	0	0
SLC19A2	0	0.38	0	0
FGF14	0	0.38	0	0
WNT10B	0	0.37	0.26	0
PLBD2	0	0.37	0	0
ABL1	0	0.37	0	0
AIF1L	0	0.36	0	0
RP11-834C11	0	0.36	0	0
GSTM2	0	0.36	0.41	0
ACAT1	0	0.36	0	0
ACKR4	0	0.36	0	0
TMEM159	0	0.36	0.5	0
TBC1D12	0	0.35	0	0
RDH10	0	0.35	0.67	0
TMEM255A	0	0.35	0	0
GLG1	0	0.34	0	0
ARMCX2	0	0.34	0	0
RNF13	0	0.34	0.36	0
ADAMTS16	0	0.34	0	0
PCDH9	0	0.33	0	0
SEMA3E	0	0.33	0	0
FN3K	0	0.33	0.32	0
EML1	0	0.32	0	0
CP	0	0.32	1.28	0
SPRYD3	0	0.32	0	0
ZNF423	0	0.31	0	0
GALNT16	0	0.31	0	0
BIN1	0	0.31	-0.43	0
GLIPR2	0	0.31	-0.4	0.55
DOCK4	0	0.31	0	0
COPRS	0	0.31	0	0
SUMF1	0	0.31	0.27	0
KREMEN1	0	0.31	0	0
DIXDC1	0	0.31	0	0
STXBP1	0	0.3	0	0
RASL12	0	0.3	0	0
BCHE	0	0.3	0	0
SETD7	0	0.3	0	0
AGTR1	0	0.3	0	0
NAAA	0	0.3	0	0.42
NPEPPS	0	0.3	0	0
MAOA	0	0.3	0.37	0
TTC28	0	0.29	0	0
MID1IP1	0	0.29	0	0
PHLDB2	0	0.29	0.29	0
CDKN2C	0	0.29	0	0
EMILIN2	0	0.29	0	0.27
ERGIC1	0	0.29	0	0
USP53	0	0.29	0	0
FAM198A	0	0.28	0	0
HMCN2	0	0.28	0	0
AMOTL2	0	0.28	0.32	0
RASL11A	0	0.28	0	0
CRYBG3	0	0.28	0	0
AOC3	0	0.27	0	0
TMEM91	0	0.27	0	0
TULP3	0	0.27	0	0
FAM180A	0	0.27	0	0
HSPB2	0	0.27	0	0
FAXDC2	0	0.27	0	0
AHCYL1	0	0.27	0	0
TNFAIP8L3	0	0.27	0	0
PCSK6	0	0.26	0	0
SVBP	0	0.26	0	0
NCSTN	0	0.26	0	0
TM2D1	0	0.26	0	0
CMBL	0	0.26	0.28	0
PBX3	0	0.26	0	0
NGF	0	0.26	0	0
PHYH	0	0.26	0	0
CALCOCO1	0	0.26	0	0
LMO3	0	0.26	0	0
PXK	0	0.26	0	0
ARHGAP12	0	0.26	0	0
DPP4	0	0.25	0	0
GLI3	0	0.25	0	0
RRAGC	0	0.25	0	0
DSE	0	0.25	-0.25	0.45
FOLH1	0	0.25	0	0
SDF4	0	0.25	0	-0.26
TGIF2	0	-0.27	0.28	0
OAS2	0	-0.27	-0.28	0
EDF1	0	-0.28	-0.28	0
COPE	0	-0.29	0	0
SNX10	0	-0.29	-0.25	0
SQLE	0	-0.3	0.27	0
DDT	0	-0.31	0.29	0
COX4I1	0	-0.31	-0.27	0
RNASEK	0	-0.32	-0.26	0
PAFAH1B3	0	-0.33	0.29	0
RPL15	0	-0.33	-0.29	0
NPM1	0	-0.33	-0.45	0
LDLR	0	-0.34	0.33	0
NDUFA6	0	-0.34	0.43	0
NAA10	0	-0.35	0.41	0
COX6B1	0	-0.35	-0.34	0
ATP6V1G1	0	-0.35	0.42	0
USMG5	0	-0.36	0.52	0
COX7A2	0	-0.36	0.37	0
HNRNPC	0	-0.36	0	0
TAPBP	0	-0.36	-0.34	0
NDUFB11	0	-0.37	0.32	0
NUTF2	0	-0.37	0.25	0
ADAR	0	-0.38	-0.33	0
RPL23	0	-0.39	0.28	0
PSMB3	0	-0.39	0.61	0
SLC25A6	0	-0.39	0.65	0.26
ARPC5	0	-0.41	0	0.47
UBL5	0	-0.42	-0.4	0
UQCR11	0	-0.43	-0.46	0
C19orf24	0	-0.3	0	0
SLC39A4	0	-0.25	0.39	0
SLC5A3	0	-0.27	0	0
NDUFB2	0	-0.3	-0.32	0
SSNA1	0	-0.29	0.34	0
GMDS	0	-0.26	0.84	0
PET100	0	-0.29	-0.26	0
C19orf53	0	-0.28	-0.25	0
UBE2L3	0	-0.29	0.35	0
CISD2	0	-0.28	0	0
NDUFB3	0	-0.31	0.3	0
ATP5D	0	-0.27	-0.34	0
ZNRD1	0	-0.28	0	0
LSM8	0	-0.3	-0.35	0
NDUFA1	0	-0.28	-0.43	0
EIF3K	0	-0.25	-0.39	0
HPCAL1	0	-0.25	0	0
PTDSS1	0	-0.26	0	0
DNAJB11	0	-0.28	0.47	0
SNRPC	0	-0.3	0.26	0
ROMO1	0	-0.31	0.27	0
MT-ND6	0	0.28	0.26	0
LAGE3	0	-0.27	0.39	0
TOMM20	0	-0.3	0.47	0
UXT	0	-0.28	0	0
XAF1	0	-0.35	-0.54	0
GTF3A	0	-0.29	0	0
EMC6	0	-0.25	0.31	0
TAF15	0	-0.29	0	0
ATF7IP	0	-0.29	0	0
TMEM160	0	-0.25	-0.25	0
DR1	0	-0.27	-0.25	0
FAAP20	0	-0.25	0	0
TRA2A	0	-0.3	0	0
NDUFB4	0	-0.27	0.32	-0.26
SAMD9	0	-0.25	0.36	0
PARP14	0	-0.26	-0.29	0
MRPS12	0	-0.26	0.29	0
BACH1	0	-0.29	-0.28	0
GTF3C6	0	-0.26	0	0
IL4R	0	-0.26	-0.26	0
PFDN2	0	-0.29	0.29	0
LSM2	0	-0.29	0.4	0
C14orf2	0	-0.29	0.25	0
NDUFA3	0	-0.26	-0.29	0
ACP1	0	-0.26	0.45	0
NUDT21	0	-0.25	0.26	0
PRPF40A	0	-0.26	0	0
EIF3A	0	-0.27	0.28	0
PPP2CA	0	-0.27	-0.25	0
EIF2S2	0	-0.27	0.31	0
MT1G	0	0.62	0.9	0
NONO	0	-0.26	0.42	0
TRA2B	0	-0.3	0.62	0
SNRPE	0	-0.29	0.29	-0.26
SNRPD3	0	-0.26	0.44	0
ZBTB1	0	-0.25	-0.26	0
TAF1D	0	-0.28	0	0
FXR1	0	-0.26	0.53	0
C1QBP	0	-0.32	0.48	0
ROCK1	0	-0.27	-0.41	0
MAPRE2	0	-0.31	-0.42	0
OLA1	0	-0.25	0.42	0
CCT2	0	-0.27	0.33	0
UBE2L6	0	-0.26	-0.25	0
C1QC	0	0	0	0
C1QA	0	0	0	0
LYZ	0	0	1.29	1.48
APOC1	0	0	-0.44	0.3
MMP12	0	0	0	0
FCGR2A	0	0	0	0
CCL3L3	0	0	0	0
MS4A7	0	0	0	0.58
EREG	0	0	-0.32	0.32
CCL18	0	0	0	0
MMP9	0	0	0	1.07
C5AR1	0	0	0	0
SDS	0	0	0	0
IGSF6	0	0	0	0.51
CSF1R	0	0	0	0.4
FCGR3A	0	0	0	0
OLR1	0	0	0	0
TREM2	0	0	2.04	0
FAM26F	0	0	0	0.5
PLA2G7	0	0	0	0
SLC11A1	0	0	0	0
CXCL9	0	0	0	0.53
FBP1	0	0	0	0
CD163	0	0	0	0
APOC4-APOC2	0	0	0	0
PILRA	0	0	0	0
FCGR2B	0	0	0	0.39
CD86	0	0	0	1.4
HCK	0	0	0	0.86
NCF2	0	0	0	0.38
FOLR2	0	0	0	0
RAB20	0	0	0	0
MSR1	0	0	0	0
FPR3	0	0	0	0
FCGR1A	0	0	0	0
FPR1	0	0	0	0.48
CLEC7A	0	0	0	0.4
VSIG4	0	0	0	0
MNDA	0	0	0	0.46
SLC7A7	0	0	0	0
TREM1	0	0	0	0
IL10	0	0	0	0
CCL8	0	0	0	0
ADAP2	0	0	0	0.31
LIPA	0	0	0	0
SLCO2B1	0	0	0	0
FCN1	0	0	0	0
F13A1	0	0	0	0
CCRL2	0	0	0	0
ATP6V1B2	0	0	0	0
MPP1	0	0	0	0
CECR1	0	0	0	0
ITGAX	0	0	0	0.34
TBXAS1	0	0	0	0
SLC31A2	0	0	0	0.34
LILRB3	0	0	0	0
C3AR1	0	0	0	0
LINC01272	0	0	0	0
NLRP3	0	0	0	0
SLC43A2	0	0	0	0
CLEC10A	0	0	0	0.69
GPR84	0	0	0	0
RIPK2	0	0	0	0.73
SLC16A10	0	0	0	0
ANPEP	0	0	0	0.25
CLEC5A	0	0	0	0
HS3ST1	0	0	0.28	0
LGALS2	0	0	0	1.11
SLAMF8	0	0	0	0
ALOX5	0	0	0	0.51
DMXL2	0	0	0	0
GM2A	0	0	0	0
NAIP	0	0	0	0
TPP1	0	0	-0.32	0
FNIP2	0	0	0	0.35
VMO1	0	0	0	0.66
ADGRE2	0	0	0	0
AQP9	0	0	0	0
ATP6AP1	0	0	0	0
CLEC4A	0	0	0	0.5
CD300E	0	0	0	0
PTAFR	0	0	0	0
NFKBIE	0	0	0	0.25
LY86	0	0	0	0.4
FGR	0	0	0	0.53
OTUD1	0	0	0	0
ATP13A3	0	0	0	0
TTYH3	0	0	0	0
GPR137B	0	0	0	0.93
SLC8A1	0	0	0	0.31
EPB41L3	0	0	0	0
CLEC4E	0	0	0	0
CCL24	0	0	0	0
SLC15A3	0	0	0	0
APOBEC3A	0	0	1.13	0
LHFPL2	0	0	0	0
CAMK1	0	0	0	0
ATP6V0D1	0	0	-0.32	0.34
MCOLN1	0	0	0	0
RETN	0	0	0	0
ADAMDEC1	0	0	0	0
TCIRG1	0	0	-0.3	0
GPR34	0	0	0	0
DAPK1	0	0	0	0.39
ARL8B	0	0	0	0.29
LINC00936	0	0	0	0
IL1A	0	0	0	0
GLRX	0	0	-0.4	0
LRRC25	0	0	0	0
MANBA	0	0	0	0.28
PPP1R15B	0	0	0	0.37
ACSL1	0	0	0	0
RENBP	0	0	0	0
OGFRL1	0	0	0	0.27
GAA	0	0	0.31	0
CSF3R	0	0	0	0
SIGLEC10	0	0	0	0.26
SDSL	0	0	0	0
QKI	0	0	0	0
MARCO	0	0	0	0
CD84	0	0	0	0
MYO9B	0	0	0	0
ABHD12	0	0	0.33	0
TLR2	0	0	0	0
AOAH	0	0	0	0
IL23A	0	0	0	0
NR1H3	0	0	0	0
TCN2	0	0	0	0
PDXK	0	0	0	0
AP1B1	0	0	0	0
GNB4	0	0	0	0
NAGA	0	0	0	0
IFNGR1	0	0	0	0.35
RB1	0	0	0	0
NPL	0	0	0	0
IL6R	0	0	0	0
HLA-DQB2	0	0	0	1.06
CCL13	0	0	0	0
SIGLEC12	0	0	0	0
SEMA6B	0	0	0	0
SIGLEC1	0	0	0	0
GAL3ST4	0	0	0	0
MERTK	0	0	0	0
ALCAM	0	0	0.5	0.29
CPM	0	0	0	0
DNASE2	0	0	0	0
CNDP2	0	0	0	0
ACP2	0	0	0	0
CD300C	0	0	0	0.28
NCOA4	0	0	0	0
GCA	0	0	0	0.44
CCR1	0	0	0	0
SLC37A2	0	0	0	0
BLVRA	0	0	0	0
MYO1F	0	0	0	0
SLC31A1	0	0	0	0
ZFYVE16	0	0	0	0
CD80	0	0	0	0.85
SNX8	0	0	0	0.34
IDO1	0	0	0.31	1.54
STX4	0	0	0	0
MCEMP1	0	0	0	0
IRAK2	0	0	0	0.29
SMCO4	0	0	0	0.41
TWF2	0	0	-0.37	0
P2RX4	0	0	0	0
RNF19B	0	0	0	0
ITGAM	0	0	0	0
TLR4	0	0	0	0
SLC39A8	0	0	0	0
LUCAT1	0	0	0	0
PLXNC1	0	0	0	0
CD33	0	0	0	0
SGPL1	0	0	0	0
SQRDL	0	0	-0.34	0
DOK3	0	0	0	0
NQO2	0	0	0	0
ATG3	0	0	0	0.56
ST14	0	0	0.4	0
SPRED1	0	0	0	0
SIGLEC9	0	0	0	0
SH3BP2	0	0	0	0
FUOM	0	0	0	0
BMP2K	0	0	0	0
PTGS1	0	0	0	0
RP11-1143G9	0	0	0	0
TET2	0	0	0	0
GPR35	0	0	0	0.45
CYFIP1	0	0	0	0
CD72	0	0	0	0
LAMTOR2	0	0	0.36	0
LILRB5	0	0	0	0
SIGLEC7	0	0	0	0
NRG1	0	0	0	0
OSCAR	0	0	0	0
SCIMP	0	0	0	0
TOM1	0	0	0	0
LACTB	0	0	0	0
LPAR6	0	0	0.36	0
TMEM51	0	0	0	0
CEP170	0	0	0	0
TPRA1	0	0	0.35	0.31
OAZ2	0	0	0	0
RAPGEF2	0	0	0	0
CFP	0	0	0	0.86
HIF1A-AS2	0	0	0	0
CPPED1	0	0	0	0
TM6SF1	0	0	0	0
RNASE2	0	0	0	0
TRPM2	0	0	0	0
FGD4	0	0	0.61	0
ADPGK	0	0	0	0
ZMIZ1	0	0	0	0
IL10RB	0	0	0	0
RGL1	0	0	0	0
AMPD3	0	0	0	0
ANKRD22	0	0	0	0
FMNL2	0	0	0	0
GNPDA1	0	0	0	0
LPCAT2	0	0	0.25	0
MOB3B	0	0	0	0
FCGR1B	0	0	0	0
MKNK1	0	0	0	0
RP11-670E13	0	0	0	0
WTAP	0	0	0	0
PDE4A	0	0	0	0.27
TAOK3	0	0	-0.25	0.29
FUCA1	0	0	0.34	0
TNS3	0	0	0	0
RAB7B	0	0	0	0.33
BEST1	0	0	0	0
STAC3	0	0	0	0
CMKLR1	0	0	0	0
SLC8B1	0	0	0	0
CD300LF	0	0	0	0
HK3	0	0	0	0
EHD1	0	0	-0.26	0
ERP44	0	0	0	0
PICALM	0	0	0	0.29
TFPT	0	0	0	0
IDH1	0	0	0	0
PLEKHO2	0	0	0	0
RP2	0	0	0	0.27
BCKDK	0	0	0	0
UBE2D1	0	0	0	0
FKBP15	0	0	0	0
SH3BGRL	0	0	-0.74	0
GSAP	0	0	0	0
DNAAF1	0	0	0	0
PPARD	0	0	0	0
HPSE	0	0	0	0
ARHGEF10L	0	0	0	0
CD209	0	0	0	0
ATP6V1C1	0	0	0	0
SESN2	0	0	0	0
SPAG9	0	0	0	0
SOAT1	0	0	0	0
LILRA6	0	0	0	0
C9orf72	0	0	0	0
RIN3	0	0	0	0
NUMB	0	0	0	0
ME2	0	0	0	0
IRAK3	0	0	0	0
CEACAM4	0	0	0	0
SNN	0	0	0	0.37
PABPC4	0	0	-0.29	0
APOBR	0	0	0	0
TTYH2	0	0	0	0.58
SLC1A3	0	0	0	0
P2RX7	0	0	0	0
ATP6V0A1	0	0	0	0
PKIB	0	0	0	0.78
HK2	0	0	0	0
NANS	0	0	0.33	0
ACER3	0	0	0.39	0
ETV5	0	0	0.95	0
ARAP1	0	0	0	0
BCAS4	0	0	0	0
SLC25A4	0	0	0.26	0
IFT57	0	0	0.28	0
C14orf1	0	0	0.29	0
MRFAP1L1	0	0	0	-0.29
METTL9	0	0	0.34	-0.25
UBB	0	0	0.56	0
C19orf43	0	0	-0.46	0
MED10	0	0	0	0
SNHG7	0	0	0	-0.28
RSL24D1	0	0	0	0
SRSF10	0	0	0	0
PSIP1	0	0	-0.41	0
RBM4	0	0	0.28	0
BTF3	0	0	0	0
OPTN	0	0	-0.34	-0.5
RPL7A	0	0	-0.28	0
GORASP2	0	0	0	0
RAB30	0	0	-0.26	0
PNISR	0	0	-0.36	0
ORMDL3	0	0	0	0
SRSF11	0	0	0	0
FBL	0	0	0.4	0
EIF3L	0	0	-0.36	0
BRIX1	0	0	0.3	-0.26
SF3A2	0	0	0	0
HNRNPK	0	0	0.31	0
COX7A2L	0	0	0.34	0
CCNB1IP1	0	0	0.46	0
RSL1D1	0	0	0.53	0
KDM5B	0	0	0.38	0
TCEA1	0	0	0.29	-0.31
PRMT1	0	0	0.32	0
SRSF8	0	0	0	0
EIF3I	0	0	0.25	0
MATR3	0	0	0	0
HNRNPDL	0	0	-0.35	0
DNAJC19	0	0	0.26	-0.34
EPB41L4A-AS1	0	0	0	0
MRPL36	0	0	0.33	-0.28
MED21	0	0	0.27	0
UBXN4	0	0	0	-0.27
EIF3G	0	0	-0.29	0
CHST12	0	0	-0.28	-0.32
C11orf58	0	0	-0.32	0
PHB2	0	0	0.6	0
RSRC2	0	0	0.39	0
KRR1	0	0	0.34	0
CCT7	0	0	0.46	0
EAPP	0	0	0	-0.28
MPC2	0	0	0	0
MOB4	0	0	0	0
CFAP20	0	0	0	0
IP6K2	0	0	0	0
UBE2I	0	0	0.5	0
LUC7L2	0	0	0	0
PHF14	0	0	0.26	0
NCOR1	0	0	-0.27	0
NCBP2-AS2	0	0	0.27	0
POLR2C	0	0	0	-0.25
FUS	0	0	0.82	0
MMADHC	0	0	0	0
POLR1D	0	0	0.27	0
CCDC12	0	0	0	0
NUDC	0	0	0	0
NGDN	0	0	0	0
RAB11B	0	0	0	0
TAF7	0	0	0	0
GADD45A	0	0	0.34	0.26
LSM14A	0	0	0	0
GOLPH3	0	0	0	0
SMARCE1	0	0	0.28	0
MPG	0	0	0	-0.27
CAMLG	0	0	0	0
PCNP	0	0	0.38	0
TPR	0	0	0.25	0
LUC7L3	0	0	0	0
ANAPC5	0	0	0.31	0
SPSB3	0	0	0	0
DHX36	0	0	0.5	0
RSF1	0	0	0.25	0
MPHOSPH8	0	0	-0.28	-0.28
YTHDF2	0	0	0.28	0
UBA2	0	0	0	0
SRSF4	0	0	0	0
PDCD6	0	0	0.45	0
DGUOK	0	0	0.29	0
PPP3CC	0	0	-0.33	0
SLC1A5	0	0	0.29	0
U2SURP	0	0	0.28	-0.25
ATRX	0	0	-0.29	0
BCLAF1	0	0	0.28	0
FDFT1	0	0	0.36	0
TM2D3	0	0	0.99	0
RBCK1	0	0	0	0
NASP	0	0	0.45	-0.27
H2AFX	0	0	0.26	0
IGKV3-20	0	0	0	-1.65
CXCL5	0	0	0	0
SERPINB2	0	0	0.88	0
S100A12	0	0	0.91	0
MIR3945HG	0	0	0	0
TNFSF15	0	0	0	0
FLT1	0	0	0	0
LPCAT1	0	0	0	0
DENND5A	0	0	0	0
PNPLA8	0	0	-0.26	0
JARID2	0	0	0	0
DDX60L	0	0	0	0
GCH1	0	0	0	0
IRG1	0	0	0	0
SLAMF9	0	0	0	0
RYBP	0	0	0	0
FPR2	0	0	0	0
MAP2K1	0	0	0	0.35
TRIM25	0	0	0	0
NRIP3	0	0	0	0
EAF1	0	0	0	0
C19orf38	0	0	0	0
NOTCH2	0	0	0	0
FCAR	0	0	0	0
B4GALT5	0	0	0.26	0
LILRA2	0	0	0	0
MFSD2A	0	0	0	0
SIPA1L1	0	0	0	0
HCAR3	0	0	0.39	0
PTGER2	0	0	0	0
PTPN12	0	0	0	0
ACSL5	0	0	0	0
DOT1L	0	0	0	0
LRG1	0	0	0.3	0
SLC2A6	0	0	0	0
CLEC12A	0	0	0	0
RP11-519G16	0	0	0	0
PSTPIP2	0	0	0.28	0
IL10RB-AS1	0	0	0	0
NBPF19	0	0	0	0
KCNN4	0	0	0.8	0
GPAT3	0	0	0	0.39
ZSWIM6	0	0	0	0
DENND3	0	0	0	0
MEFV	0	0	0	0
LINC00937	0	0	0	0
CTB-61M7	0	0	0	0
MRPL38	0	0	0.26	0
DUSP11	0	0	0	0
ERGIC2	0	0	0.46	0
MRPL34	0	0	0	0
MRPS7	0	0	0.4	0
PWP1	0	0	0.33	0
TMED4	0	0	0.3	0
RSBN1L	0	0	0.49	0
MRPS18B	0	0	0.25	0
RBBP7	0	0	0.33	0
SDHA	0	0	0	0
DCTN2	0	0	0	0
NDUFA5	0	0	0	-0.26
ATXN10	0	0	0.34	0
RWDD1	0	0	-0.29	0
VDAC3	0	0	0.36	0
AKAP9	0	0	0.38	0
PSMA3	0	0	0.55	0
MRPL3	0	0	0.34	0
APOA1BP	0	0	0.31	-0.27
TUFM	0	0	0.34	0
MRPS21	0	0	0.4	0
SLC25A3	0	0	0.42	0
PHB	0	0	0.27	0
DDOST	0	0	0.35	0
LRP10	0	0	-0.33	-0.29
TMEM230	0	0	0.32	0
NDUFV1	0	0	0.37	0
EMC4	0	0	0	-0.31
PA2G4	0	0	0.26	-0.26
COX6C	0	0	0.36	0
ATP5A1	0	0	0	0
IFI16	0	0	-0.36	-0.48
SRPRB	0	0	0.27	-0.25
POLR2I	0	0	0.28	0
RPL7L1	0	0	0.38	0
UFC1	0	0	0	0
SMC3	0	0	0.3	0
AGAP3	0	0	0	0
MRPL4	0	0	0.26	0
PSMG2	0	0	0	0
MTF1	0	0	0	0
SUMF2	0	0	0.7	0
MAF1	0	0	0.32	0
SCAMP3	0	0	0	0
TMEM14B	0	0	0.28	0
IMP3	0	0	0.27	-0.29
PAIP1	0	0	0.26	0
PURB	0	0	0	0
C15orf61	0	0	0	0
STOML2	0	0	0.26	0
NOL7	0	0	0.27	0
BAD	0	0	0	0
TMEM87A	0	0	0.33	0
ZBTB43	0	0	0	0
IL1RAP	0	0	0.3	0
CDC123	0	0	0.26	0
CLNS1A	0	0	0.3	0
MRPL57	0	0	0	0
NDUFB7	0	0	0.33	0
DNAJC9	0	0	0.33	0
COQ4	0	0	0	0
OXSR1	0	0	0	0.27
EIF5B	0	0	0	0
TMCO1	0	0	0.34	-0.3
CLPP	0	0	0	0
MRPL13	0	0	0.25	0
RABGEF1	0	0	0	0
SDHC	0	0	0.26	0
C21orf59	0	0	0	0
MGMT	0	0	0	0
EI24	0	0	0.26	0
SARS	0	0	0	0
WBSCR22	0	0	0.26	0
MAFG	0	0	0	0
SSRP1	0	0	0.27	0
TIMMDC1	0	0	0.31	0
FNTA	0	0	0.95	0
GLO1	0	0	0.34	0
ZCRB1	0	0	0.34	0
MRPL9	0	0	0.25	0
VDR	0	0	0	0
XRCC5	0	0	0.35	0
MTG1	0	0	0.29	0
ARHGEF2	0	0	0	0.26
NHP2	0	0	0.3	0
NUDT5	0	0	0.3	0
MRPL22	0	0	0	0
EPRS	0	0	0	0
PITHD1	0	0	0	0
MRPL32	0	0	0	0
NDUFS3	0	0	0.26	0
MRPL42	0	0	0	0
NABP2	0	0	0.26	0
RHOQ	0	0	0	0
ACSL4	0	0	-0.26	0
NOB1	0	0	0	0
PIN1	0	0	0	0
IMP4	0	0	0.38	0
CARD19	0	0	0	0
SERPINB8	0	0	0	0
RAB1B	0	0	0	-0.25
UBE2G1	0	0	0	0
AIP	0	0	0	0
RPAIN	0	0	0.35	0
VPS25	0	0	0	0
RBBP4	0	0	0.42	0
RPS19BP1	0	0	0.29	0
TBCB	0	0	0	0
ZNF593	0	0	0.29	0
C17orf89	0	0	0.54	0
CSGALNACT2	0	0	0	0
CFAP97	0	0	0	0
KIF2A	0	0	0	0.39
PFDN4	0	0	0.39	0
GOT2	0	0	0.38	0
NDUFA8	0	0	0.32	0
STUB1	0	0	0	0
LSM1	0	0	0	0
RFC1	0	0	0	0
THRAP3	0	0	0	0
GTF2I	0	0	0.36	0
CLSTN1	0	0	0.31	0
HAX1	0	0	0.3	0
MBNL2	0	0	-0.28	0
LINC01420	0	0	0.25	0
